long_url,short_url
https://frconor-ebook.github.io/meditations/homilies/kindness/,https://tinyurl.com/frcmed-kind-transcript
https://frconor-ebook.github.io/meditations/homilies/knowing-loving-and-living-the-eucharist/,https://tinyurl.com/frcmed-kle-transcript
https://frconor-ebook.github.io/meditations/homilies/launch-out-into-the-deep/,https://tinyurl.com/frcmed-ltd-transcript
https://frconor-ebook.github.io/meditations/homilies/life-of-childhood/,https://tinyurl.com/frcmed-loc-transcript
https://frconor-ebook.github.io/meditations/homilies/life-of-faith/,https://tinyurl.com/frcmed-lof-transcript
https://frconor-ebook.github.io/meditations/homilies/listening/,https://tinyurl.com/frcmed-lisn-transcript
https://frconor-ebook.github.io/meditations/homilies/little-duties/,https://tinyurl.com/frcmed-ld-transcript
https://frconor-ebook.github.io/meditations/homilies/love-for-priests/,https://tinyurl.com/frcmed-lp-transcript
https://frconor-ebook.github.io/meditations/homilies/love-for-chastity/,https://tinyurl.com/frcmed-lfc-transcript
https://frconor-ebook.github.io/meditations/homilies/love-for-our-vocation/,https://tinyurl.com/frcmed-weloveourjob-transcript
https://frconor-ebook.github.io/meditations/homilies/love-for-the-cross/,https://tinyurl.com/frcmed-lftc-transcript
https://frconor-ebook.github.io/meditations/homilies/loving-jesus-house/,https://tinyurl.com/frcmed-ljh-transcript
https://frconor-ebook.github.io/meditations/homilies/loyalty/,https://tinyurl.com/frcmed-loyal-transcript
https://frconor-ebook.github.io/meditations/homilies/lukewarmness/,https://tinyurl.com/frcmed-lw-transcript
https://frconor-ebook.github.io/meditations/homilies/magnanimity/,https://tinyurl.com/frcmed-mag-transcript
https://frconor-ebook.github.io/meditations/homilies/making-good-decisions-or-the-virtue-of-prudence/,https://tinyurl.com/frcmed-mgd-transcript
https://frconor-ebook.github.io/meditations/homilies/marriage-and-indissolubility/,https://tinyurl.com/frcmed-mai-transcript
https://frconor-ebook.github.io/meditations/homilies/marriage-in-heaven/,https://tinyurl.com/frcmed-mih-transcript
https://frconor-ebook.github.io/meditations/homilies/martha-martha/,https://tinyurl.com/frcmed-mm-transcript
https://frconor-ebook.github.io/meditations/homilies/mary-of-bethanys-authentic-love/,https://tinyurl.com/frcmed-mobal-transcript
https://frconor-ebook.github.io/meditations/homilies/mary-mother-of-god/,https://tinyurl.com/frcmed-mom-transcript
https://frconor-ebook.github.io/meditations/homilies/maturity-and-participation-in-the-divine-nature/,https://tinyurl.com/frcmed-matindivnati-transcript
https://frconor-ebook.github.io/meditations/homilies/meekness/,https://tinyurl.com/frcmed-meek-transcript
https://frconor-ebook.github.io/meditations/homilies/mental-prayer/,https://tinyurl.com/frcmed-mp-transcript
https://frconor-ebook.github.io/meditations/homilies/midterm-of-the-year-of-st-joseph/,https://tinyurl.com/frcmed-stjoemid-transcript
https://frconor-ebook.github.io/meditations/homilies/mortification/,https://tinyurl.com/frcmed-mort-transcript
https://frconor-ebook.github.io/meditations/homilies/mother-of-the-church/,https://tinyurl.com/frcmed-motc-transcript
https://frconor-ebook.github.io/meditations/homilies/mothers-day/,https://tinyurl.com/frcmed-md-transcript
https://frconor-ebook.github.io/meditations/homilies/much-will-be-demanded-responsibility/,https://tinyurl.com/frcmed-mwbdresponsi-transcript
https://frconor-ebook.github.io/meditations/homilies/naaman-the-syrian-docility/,https://tinyurl.com/frcmed-nddoc-transcript
https://frconor-ebook.github.io/meditations/homilies/obedience/,https://tinyurl.com/frcmed-obd-transcript
https://frconor-ebook.github.io/meditations/homilies/obedience-in-bethlehem/,https://tinyurl.com/frcmed-oib-transcript
https://frconor-ebook.github.io/meditations/homilies/oct-12-our-lady-of-pilar/,https://tinyurl.com/frcmed-ourlady-transcript
https://frconor-ebook.github.io/meditations/homilies/octave-of-prayer-for-the-unity-of-christians/,https://tinyurl.com/frcmed-opuc-transcript
https://frconor-ebook.github.io/meditations/homilies/on-apostolate/,https://tinyurl.com/frcmed-onapisshorte-transcript
https://frconor-ebook.github.io/meditations/homilies/on-creation/,https://tinyurl.com/frcmed-oncre-transcript
https://frconor-ebook.github.io/meditations/homilies/on-hope/,https://tinyurl.com/frcmed-nope-transcript
https://frconor-ebook.github.io/meditations/homilies/on-temperance/,https://tinyurl.com/frcmed-ontemp-transcript
https://frconor-ebook.github.io/meditations/homilies/on-work/,https://tinyurl.com/frcmed-onworkow-transcript
https://frconor-ebook.github.io/meditations/homilies/optimism/,https://tinyurl.com/frcmed-opt-transcript
https://frconor-ebook.github.io/meditations/homilies/order/,https://tinyurl.com/frcmed-ord-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-of-africa/,https://tinyurl.com/frcmed-ola-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-of-fatimamay-13/,https://tinyurl.com/frcmed-ourladyissho-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-of-guadalupe/,https://tinyurl.com/frcmed-olg-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-of-lourdes/,https://tinyurl.com/frcmed-oll-transcript
